report_date,net
2007-09-04,20028.0
2007-09-11,22673.0
2007-09-18,25127.0
2007-09-25,38402.0
2007-10-02,44780.0
2007-10-09,38701.0
2007-10-16,35746.0
2007-10-23,34270.0
2007-10-30,36916.0
2007-11-06,44593.0
2007-11-13,43276.0
2007-11-20,45760.0
2007-11-27,45431.0
2007-12-04,48152.0
2007-12-11,50641.0
2007-12-18,54095.0
2007-12-24,56084.0
2007-12-31,55421.0
2008-01-08,59119.0
2008-01-15,63735.0
2008-01-22,58515.0
2008-01-29,58358.0
2008-02-05,62544.0
2008-02-12,61350.0
2008-02-19,59595.0
2008-02-26,53727.0
2008-03-04,50564.0
2008-03-11,48140.0
2008-03-18,41640.0
2008-03-25,33527.0
2008-04-01,30725.0
2008-04-08,32363.0
2008-04-15,36599.0
2008-04-22,34957.0
2008-04-29,35404.0
2008-05-06,31623.0
2008-05-13,28467.0
2008-05-20,24904.0
2008-05-27,22627.0
2008-06-03,26580.0
2008-06-10,30059.0
2008-06-17,32734.0
2008-06-24,34709.0
2008-07-01,37944.0
2008-07-08,31105.0
2008-07-15,25644.0
2008-07-22,23531.0
2008-07-29,18265.0
2008-08-05,17774.0
2008-08-12,17024.0
2008-08-19,11232.0
2008-08-26,11611.0
2008-09-02,11484.0
2008-09-09,9646.0
2008-09-16,9017.0
2008-09-23,9645.0
2008-09-30,11623.0
2008-10-07,7881.0
2008-10-14,7474.0
2008-10-21,7147.0
2008-10-28,8748.0
2008-11-04,9789.0
2008-11-11,9333.0
2008-11-18,11927.0
2008-11-25,12281.0
2008-12-02,12222.0
2008-12-09,11908.0
2008-12-16,15221.0
2008-12-22,18878.0
2008-12-30,20222.0
2009-01-06,20523.0
2009-01-13,20922.0
2009-01-20,17964.0
2009-01-27,20022.0
2009-02-03,21861.0
2009-02-10,24734.0
2009-02-17,23394.0
2009-02-24,20755.0
2009-03-03,19168.0
2009-03-10,19922.0
2009-03-17,20882.0
2009-03-24,21237.0
2009-03-31,23712.0
2009-04-07,26272.0
2009-04-14,25320.0
2009-04-21,20546.0
2009-04-28,20003.0
2009-05-05,17332.0
2009-05-12,15416.0
2009-05-19,13820.0
2009-05-26,11206.0
2009-06-02,13898.0
2009-06-09,19946.0
2009-06-16,23239.0
2009-06-23,20535.0
2009-06-30,17849.0
2009-07-07,17579.0
2009-07-14,16283.0
2009-07-21,18713.0
2009-07-28,22711.0
2009-08-04,23598.0
2009-08-11,21167.0
2009-08-18,20968.0
2009-08-25,22085.0
2009-09-01,21525.0
2009-09-08,22493.0
2009-09-15,23463.0
2009-09-22,22772.0
2009-09-29,23401.0
2009-10-06,23676.0
2009-10-13,24039.0
2009-10-20,23745.0
2009-10-27,26625.0
2009-11-03,30393.0
2009-11-09,33414.0
2009-11-17,30563.0
2009-11-24,34038.0
2009-12-01,36826.0
2009-12-08,38698.0
2009-12-15,39849.0
2009-12-22,38540.0
2009-12-29,38281.0
2010-01-05,35702.0
2010-01-12,34372.0
2010-01-19,40005.0
2010-01-26,43383.0
2010-02-02,40637.0
2010-02-09,31594.0
2010-02-16,27989.0
2010-02-23,27975.0
2010-03-02,26363.0
2010-03-09,21189.0
2010-03-16,20216.0
2010-03-23,22272.0
2010-03-30,22442.0
2010-04-06,21490.0
2010-04-13,23360.0
2010-04-20,27439.0
2010-04-27,32101.0
2010-05-04,33676.0
2010-05-11,32688.0
2010-05-18,25126.0
2010-05-25,24956.0
2010-06-01,25083.0
2010-06-08,28932.0
2010-06-15,27252.0
2010-06-22,26710.0
2010-06-29,28406.0
2010-07-06,27435.0
2010-07-13,25379.0
2010-07-20,27303.0
2010-07-27,22233.0
2010-08-03,23197.0
2010-08-10,17073.0
2010-08-17,10800.0
2010-08-24,4925.0
2010-08-31,-5198.0
2010-09-07,-8709.0
2010-09-14,-12167.0
2010-09-21,-9774.0
2010-09-28,-8786.0
2010-10-05,-10840.0
2010-10-12,-9014.0
2010-10-19,-8672.0
2010-10-26,-7404.0
2010-11-02,-8515.0
2010-11-09,-7744.0
2010-11-16,-7731.0
2010-11-23,-134.0
2010-11-30,-541.0
2010-12-07,9967.0
2010-12-14,11703.0
2010-12-21,13000.0
2010-12-28,15058.0
2011-01-04,16379.0
2011-01-11,13836.0
2011-01-18,15963.0
2011-01-25,23386.0
2011-02-01,26782.0
2011-02-08,25759.0
2011-02-15,27726.0
2011-02-22,30547.0
2011-03-01,31818.0
2011-03-08,34471.0
2011-03-15,27978.0
2011-03-22,22934.0
2011-03-29,20125.0
2011-04-05,16886.0
2011-04-12,15509.0
2011-04-19,14125.0
2011-04-26,13936.0
2011-05-03,15790.0
2011-05-10,16802.0
2011-05-17,9863.0
2011-05-24,6540.0
2011-05-31,6209.0
2011-06-07,3224.0
2011-06-14,5802.0
2011-06-21,9422.0
2011-06-28,13632.0
2011-07-05,18318.0
2011-07-12,20248.0
2011-07-19,18830.0
2011-07-26,15659.0
2011-08-02,9871.0
2011-08-09,2900.0
2011-08-16,-235.0
2011-08-23,3986.0
2011-08-30,7547.0
2011-09-06,8892.0
2011-09-13,2381.0
2011-09-20,-8082.0
2011-09-27,-12857.0
2011-10-04,-15195.0
2011-10-11,-13252.0
2011-10-18,-13382.0
2011-10-25,-13167.0
2011-11-01,-7341.0
2011-11-08,-1805.0
2011-11-15,-2800.0
2011-11-22,-4792.0
2011-11-29,-6753.0
2011-12-06,-9659.0
2011-12-13,-12128.0
2011-12-20,-11756.0
2011-12-27,-10558.0
2012-01-03,-10901.0
2012-01-10,-12959.0
2012-01-17,-11244.0
2012-01-24,-8744.0
2012-01-31,-5296.0
2012-02-07,-9183.0
2012-02-14,-12643.0
2012-02-21,-8762.0
2012-02-28,-4745.0
2012-03-06,-6440.0
2012-03-13,-3912.0
2012-03-20,-5991.0
2012-03-27,-3752.0
2012-04-03,-9757.0
2012-04-10,-16279.0
2012-04-17,-17280.0
2012-04-24,-14572.0
2012-05-01,-11879.0
2012-05-08,-7083.0
2012-05-15,-6824.0
2012-05-22,-8549.0
2012-05-29,-8782.0
2012-06-05,-11655.0
2012-06-12,-6341.0
2012-06-19,-2116.0
2012-06-26,-5205.0
2012-07-03,7783.0
2012-07-10,12405.0
2012-07-17,8674.0
2012-07-24,6868.0
2012-07-31,13873.0
2012-08-07,17812.0
2012-08-14,20982.0
2012-08-21,19776.0
2012-08-28,22392.0
2012-09-04,32280.0
2012-09-11,35108.0
2012-09-18,30394.0
2012-09-25,30851.0
2012-10-02,29587.0
2012-10-09,28355.0
2012-10-16,29499.0
2012-10-23,31908.0
2012-10-30,29803.0
2012-11-06,31669.0
2012-11-13,28844.0
2012-11-20,35382.0
2012-11-27,40361.0
2012-12-04,44756.0
2012-12-11,43050.0
2012-12-18,43185.0
2012-12-24,36082.0
2012-12-31,33814.0
2013-01-08,27638.0
2013-01-15,26598.0
2013-01-22,22488.0
2013-01-29,18368.0
2013-02-05,20221.0
2013-02-12,19710.0
2013-02-19,18974.0
2013-02-26,16206.0
2013-03-05,15089.0
2013-03-12,17097.0
2013-03-19,14983.0
2013-03-26,16463.0
2013-04-02,17525.0
2013-04-09,18775.0
2013-04-16,28356.0
2013-04-23,37604.0
2013-04-30,46381.0
2013-05-07,52709.0
2013-05-14,52234.0
2013-05-21,50615.0
2013-05-28,48708.0
2013-06-04,49072.0
2013-06-11,51914.0
2013-06-18,50044.0
2013-06-25,42931.0
2013-07-02,38627.0
2013-07-09,27911.0
2013-07-16,33563.0
2013-07-23,42424.0
2013-07-30,42989.0
2013-08-06,43532.0
2013-08-13,51557.0
2013-08-20,56908.0
2013-08-27,58323.0
2013-09-03,59855.0
2013-09-10,66472.0
2013-09-17,69022.0
2013-09-24,70932.0
2013-10-01,73178.0
2013-10-08,74316.0
2013-10-15,75995.0
2013-10-22,77217.0
2013-10-29,76762.0
2013-11-05,83480.0
2013-11-12,75842.0
2013-11-19,76284.0
2013-11-26,77575.0
2013-12-03,79342.0
2013-12-10,83815.0
2013-12-17,81892.0
2013-12-24,83203.0
2013-12-31,81815.0
2014-01-07,77563.0
2014-01-14,75503.0
2014-01-21,75079.0
2014-01-28,80191.0
2014-02-04,86982.0
2014-02-11,84982.0
2014-02-18,85545.0
2014-02-25,83452.0
2014-03-04,82984.0
2014-03-11,80437.0
2014-03-18,78261.0
2014-03-25,72701.0
2014-04-01,71622.0
2014-04-08,69096.0
2014-04-15,68037.0
2014-04-22,68540.0
2014-04-29,61047.0
2014-05-06,58324.0
2014-05-13,52471.0
2014-05-20,52878.0
2014-05-27,62662.0
2014-06-03,68951.0
2014-06-10,71417.0
2014-06-17,74254.0
2014-06-24,71116.0
2014-07-01,72153.0
2014-07-08,71788.0
2014-07-15,70706.0
2014-07-22,72906.0
2014-07-29,74142.0
2014-08-05,76946.0
2014-08-12,79891.0
2014-08-19,78605.0
2014-08-26,77843.0
2014-09-02,80348.0
2014-09-09,76594.0
2014-09-16,70004.0
2014-09-23,74319.0
2014-09-30,78428.0
2014-10-07,63982.0
2014-10-14,59767.0
2014-10-21,56025.0
2014-10-28,46207.0
2014-11-04,42908.0
2014-11-11,41439.0
2014-11-18,39350.0
2014-11-25,43948.0
2014-12-02,42411.0
2014-12-09,40836.0
2014-12-16,44040.0
2014-12-23,53100.0
2014-12-30,54451.0
2015-01-06,57539.0
2015-01-13,63254.0
2015-01-20,64780.0
2015-01-27,47721.0
2015-02-03,36637.0
2015-02-10,38597.0
2015-02-17,47504.0
2015-02-24,59217.0
2015-03-03,61469.0
2015-03-10,62985.0
2015-03-17,47949.0
2015-03-24,32508.0
2015-03-31,26727.0
2015-04-07,27636.0
2015-04-14,32596.0
2015-04-21,37125.0
2015-04-28,41385.0
2015-05-05,39671.0
2015-05-12,48626.0
2015-05-19,60168.0
2015-05-26,63297.0
2015-06-02,62075.0
2015-06-09,59305.0
2015-06-16,60518.0
2015-06-23,63099.0
2015-06-30,66357.0
2015-07-07,67841.0
2015-07-14,69208.0
2015-07-21,69467.0
2015-07-28,64470.0
2015-08-04,58828.0
2015-08-11,45892.0
2015-08-18,40997.0
2015-08-25,38413.0
2015-09-01,41174.0
2015-09-08,47347.0
2015-09-15,50512.0
2015-09-22,51639.0
2015-09-29,52287.0
2015-10-06,45176.0
2015-10-13,39489.0
2015-10-20,38690.0
2015-10-27,39206.0
2015-11-03,46645.0
2015-11-10,53734.0
2015-11-17,67220.0
2015-11-24,68087.0
2015-12-01,67724.0
2015-12-08,70034.0
2015-12-15,68750.0
2015-12-22,62164.0
2015-12-29,59382.0
2016-01-05,55359.0
2016-01-12,35137.0
2016-01-19,30723.0
2016-01-26,27740.0
2016-02-02,22876.0
2016-02-09,21706.0
2016-02-16,19956.0
2016-02-23,23368.0
2016-03-01,25836.0
2016-03-08,28792.0
2016-03-15,32446.0
2016-03-22,36784.0
2016-03-29,35983.0
2016-04-05,30368.0
2016-04-12,28241.0
2016-04-19,33734.0
2016-04-26,45803.0
2016-05-03,53969.0
2016-05-10,55020.0
2016-05-17,44095.0
2016-05-24,27306.0
2016-05-31,23228.0
2016-06-07,27228.0
2016-06-14,35168.0
2016-06-21,37491.0
2016-06-28,37221.0
2016-07-05,39827.0
2016-07-12,43160.0
2016-07-19,42044.0
2016-07-26,25502.0
2016-08-02,18840.0
2016-08-09,23536.0
2016-08-16,33927.0
2016-08-23,47145.0
2016-08-30,42475.0
2016-09-06,37209.0
2016-09-13,21133.0
2016-09-20,18409.0
2016-09-27,23436.0
2016-10-04,22798.0
2016-10-11,22541.0
2016-10-18,24409.0
2016-10-25,25395.0
2016-11-01,27018.0
2016-11-08,18889.0
2016-11-15,8315.0
2016-11-22,958.0
2016-11-29,2315.0
2016-12-06,420.0
2016-12-13,-10275.0
2016-12-20,-11767.0
2016-12-27,-10843.0
2017-01-03,-10062.0
2017-01-10,-10057.0
2017-01-17,-7498.0
2017-01-24,-12556.0
2017-01-31,-16303.0
2017-02-07,-18553.0
2017-02-14,-20408.0
2017-02-21,-19838.0
2017-02-28,-27041.0
2017-03-07,-29164.0
2017-03-14,-26762.0
2017-03-21,-19255.0
2017-03-28,-12894.0
2017-04-04,-9733.0
2017-04-11,-15949.0
2017-04-18,-23026.0
2017-04-25,-27188.0
2017-05-02,-34764.0
2017-05-09,-34176.0
2017-05-16,-29777.0
2017-05-23,-23176.0
2017-05-30,-24427.0
2017-06-06,-20330.0
2017-06-13,-20350.0
2017-06-20,-21496.0
2017-06-27,-35979.0
2017-07-03,-36417.0
2017-07-11,-40120.0
2017-07-18,-43846.0
2017-07-25,-38207.0
2017-08-01,-26011.0
2017-08-08,-20461.0
2017-08-15,-26300.0
2017-08-22,-37083.0
2017-08-29,-35007.0
2017-09-05,-37480.0
2017-09-12,-36067.0
2017-09-19,-29294.0
2017-09-26,-23789.0
2017-10-03,-17237.0
2017-10-10,-11846.0
2017-10-17,-8719.0
2017-10-24,1496.0
2017-10-31,3981.0
2017-11-07,8245.0
2017-11-14,19134.0
2017-11-21,15844.0
2017-11-28,15480.0
2017-12-05,9344.0
2017-12-12,-3304.0
2017-12-19,-7148.0
2017-12-26,-9876.0
2018-01-02,-5721.0
2018-01-09,-4479.0
2018-01-16,-3789.0
2018-01-23,3198.0
2018-01-30,10342.0
2018-02-06,18094.0
2018-02-13,18247.0
2018-02-20,27281.0
2018-02-27,31531.0
2018-03-06,33665.0
2018-03-13,43502.0
2018-03-20,43506.0
2018-03-27,44984.0
2018-04-03,46442.0
2018-04-10,48350.0
2018-04-17,53613.0
2018-04-24,60297.0
2018-05-01,58990.0
2018-05-08,58096.0
2018-05-15,61244.0
2018-05-22,59443.0
2018-05-29,59065.0
2018-06-05,50691.0
2018-06-12,42671.0
2018-06-19,40264.0
2018-06-26,42092.0
2018-07-03,41751.0
2018-07-10,41355.0
2018-07-17,38589.0
2018-07-24,27574.0
2018-07-31,20586.0
2018-08-07,7231.0
2018-08-14,-462.0
2018-08-21,-351.0
2018-08-28,3330.0
2018-09-04,2411.0
2018-09-11,6563.0
2018-09-18,2376.0
2018-09-25,-5530.0
2018-10-02,-20228.0
2018-10-09,-28978.0
2018-10-16,-25007.0
2018-10-23,-22679.0
2018-10-30,-19235.0
2018-11-06,-5781.0
2018-11-13,-3219.0
2018-11-20,-3950.0
2018-11-27,-5676.0
2018-12-04,-971.0
2018-12-11,-1841.0
2018-12-18,6887.0
2018-12-24,8354.0
2018-12-31,17339.0
2019-01-08,21158.0
2019-01-15,21560.0
2019-01-22,18715.0
2019-01-29,19569.0
2019-02-05,8632.0
2019-02-12,5468.0
2019-02-19,10080.0
2019-02-26,3880.0
2019-03-05,-9888.0
