report_date,net
2007-09-04,19833.0
2007-09-11,19371.0
2007-09-18,29280.0
2007-09-25,38080.0
2007-10-02,42257.0
2007-10-09,44713.0
2007-10-16,50580.0
2007-10-23,49064.0
2007-10-30,43755.0
2007-11-06,40905.0
2007-11-13,40958.0
2007-11-20,41593.0
2007-11-27,39596.0
2007-12-04,42966.0
2007-12-11,44300.0
2007-12-18,45696.0
2007-12-24,47063.0
2007-12-31,47465.0
2008-01-08,46210.0
2008-01-15,44742.0
2008-01-22,44040.0
2008-01-29,43453.0
2008-02-05,55767.0
2008-02-12,61628.0
2008-02-19,61233.0
2008-02-26,59954.0
2008-03-04,58853.0
2008-03-11,52017.0
2008-03-18,39505.0
2008-03-25,33633.0
2008-04-01,29456.0
2008-04-08,28271.0
2008-04-15,28014.0
2008-04-22,28669.0
2008-04-29,25269.0
2008-05-06,21551.0
2008-05-13,24363.0
2008-05-20,24166.0
2008-05-27,20574.0
2008-06-03,20161.0
2008-06-10,19827.0
2008-06-17,23929.0
2008-06-24,28683.0
2008-07-01,33744.0
2008-07-08,31182.0
2008-07-15,28340.0
2008-07-22,26092.0
2008-07-29,19683.0
2008-08-05,21596.0
2008-08-12,17183.0
2008-08-19,11348.0
2008-08-26,18183.0
2008-09-02,22752.0
2008-09-09,18361.0
2008-09-16,6435.0
2008-09-23,3564.0
2008-09-30,1589.0
2008-10-07,-12127.0
2008-10-14,-11760.0
2008-10-21,-12640.0
2008-10-28,-11873.0
2008-11-04,-9085.0
2008-11-11,-10854.0
2008-11-18,-10293.0
2008-11-25,-9657.0
2008-12-02,-11165.0
2008-12-09,-13895.0
2008-12-16,-11291.0
2008-12-22,-12196.0
2008-12-30,-13493.0
2009-01-06,-6944.0
2009-01-13,111.0
2009-01-20,2973.0
2009-01-27,9688.0
2009-02-03,9976.0
2009-02-10,9912.0
2009-02-17,4529.0
2009-02-24,3326.0
2009-03-03,-3348.0
2009-03-10,-3872.0
2009-03-17,-1211.0
2009-03-24,5868.0
2009-03-31,8643.0
2009-04-07,11564.0
2009-04-14,9480.0
2009-04-21,6117.0
