report_date,net
2022-02-08,18759.0
2022-02-15,30598.0
2022-02-22,25820.0
2022-03-01,22411.0
2022-03-08,32043.0
2022-03-15,19088.0
2022-03-22,26995.0
2022-03-29,30920.0
2022-04-05,37022.0
2022-04-12,24271.0
2022-04-19,19942.0
2022-04-26,-3114.0
2022-05-03,-15182.0
2022-05-10,-22631.0
2022-05-17,-23408.0
2022-05-24,-18458.0
2022-05-31,-16192.0
2022-06-07,-868.0
2022-06-14,-12212.0
2022-06-21,-19891.0
2022-06-28,-29301.0
2022-07-05,-30614.0
2022-07-12,-25741.0
2022-07-19,-23312.0
2022-07-26,-25816.0
2022-08-02,-26384.0
2022-08-09,-26725.0
2022-08-16,-26484.0
2022-08-23,-17190.0
2022-08-30,-22551.0
2022-09-06,-23121.0
2022-09-13,-16777.0
2022-09-20,-17959.0
2022-09-27,-26359.0
2022-10-04,-17284.0
2022-10-11,-14573.0
2022-10-18,-19237.0
2022-10-25,-16072.0
2022-11-01,-6885.0
2022-11-08,2927.0
2022-11-15,10166.0
2022-11-22,2454.0
2022-11-29,1499.0
2022-12-06,1773.0
2022-12-13,2523.0
2022-12-20,762.0
2022-12-27,653.0
2023-01-03,-4566.0
2023-01-10,11115.0
2023-01-17,17682.0
2023-01-24,20902.0
2023-01-31,18435.0
2023-02-07,1385.0
2023-02-14,-7094.0
2023-02-21,786.0
2023-02-28,-8007.0
2023-03-07,-10393.0
2023-03-14,-16750.0
2023-03-21,-15582.0
2023-03-28,-3671.0
2023-04-04,-4945.0
2023-04-11,-5770.0
2023-04-18,7152.0
2023-04-25,-18833.0
2023-05-02,-22765.0
2023-05-09,-25823.0
2023-05-16,-32577.0
2023-05-23,-29266.0
2023-05-30,-35712.0
2023-06-06,-26092.0
2023-06-13,-12836.0
2023-06-20,2224.0
2023-06-27,2464.0
2023-07-03,-9285.0
2023-07-11,-11336.0
2023-07-18,-4032.0
2023-07-25,979.0
2023-08-01,10032.0
2023-08-08,-10565.0
2023-08-15,-26690.0
2023-08-22,-24825.0
2023-08-29,-16399.0
2023-09-05,-6837.0
2023-09-12,-13121.0
2023-09-19,-16930.0
2023-09-26,-29414.0
2023-10-03,-22147.0
2023-10-10,-15837.0
2023-10-17,-26670.0
2023-10-24,-20948.0
2023-10-31,-17207.0
2023-11-07,-10345.0
2023-11-14,-16880.0
2023-11-21,-3280.0
2023-11-28,-2966.0
2023-12-05,-1583.0
2023-12-12,-3837.0
2023-12-19,5714.0
2023-12-26,7438.0
2024-01-02,8693.0
2024-01-09,-13020.0
2024-01-16,-25383.0
2024-01-23,-29943.0
2024-01-30,-8434.0
2024-02-06,-13907.0
2024-02-13,-33575.0
2024-02-20,-17646.0
2024-02-27,-4031.0
2024-03-05,-7365.0
2024-03-12,4838.0
2024-03-19,34527.0
2024-03-26,23607.0
2024-04-02,21167.0
2024-04-09,43960.0
2024-04-16,46922.0
2024-04-23,55237.0
2024-04-30,57456.0
2024-05-07,62176.0
2024-05-14,61841.0
2024-05-21,68048.0
2024-05-28,62225.0
2024-06-04,56894.0
2024-06-11,57376.0
2024-06-18,48514.0
2024-06-25,44632.0
2024-07-02,43910.0
2024-07-09,50567.0
2024-07-16,53935.0
2024-07-23,35735.0
2024-07-30,21384.0
2024-08-06,18113.0
2024-08-13,13796.0
2024-08-20,17634.0
2024-08-27,18370.0
2024-09-03,14267.0
2024-09-10,14095.0
2024-09-17,21267.0
2024-09-24,34905.0
2024-10-01,42527.0
2024-10-08,41809.0
2024-10-15,34480.0
2024-10-22,32140.0
2024-10-29,24821.0
2024-11-05,26148.0
2024-11-12,20881.0
2024-11-19,15655.0
2024-11-26,10429.0
2024-12-03,10759.0
2024-12-10,10800.0
2024-12-17,5280.0
2024-12-24,1112.0
2024-12-31,1087.0
2025-01-07,4205.0
2025-01-14,10922.0
2025-01-21,15025.0
2025-01-28,12024.0
2025-02-04,13500.0
2025-02-11,18797.0
2025-02-18,20077.0
2025-02-25,15360.0
2025-03-04,9418.0
2025-03-11,14707.0
2025-03-18,19684.0
2025-03-25,26996.0
2025-04-01,24872.0
2025-04-08,17687.0
2025-04-15,13449.0
2025-04-22,18606.0
2025-04-29,16670.0
2025-05-06,18789.0
2025-05-13,18315.0
2025-05-20,18085.0
2025-05-27,20029.0
2025-06-03,21142.0
2025-06-10,23569.0
2025-06-17,21156.0
2025-06-24,26924.0
2025-07-01,30830.0
2025-07-08,35874.0
2025-07-15,37278.0
2025-07-22,36475.0
2025-07-29,34438.0
2025-08-05,21293.0
2025-08-12,28557.0
2025-08-19,26723.0
2025-08-26,25343.0
2025-09-02,25108.0
2025-09-09,27054.0
2025-09-16,31088.0
2025-09-23,31348.0
2025-09-30,33316.0
2025-10-07,39327.0
2025-10-14,42524.0
2025-10-21,42400.0
2025-10-28,50762.0
2025-11-04,52048.0
2025-11-10,52022.0
2025-11-18,49320.0
2025-11-25,43095.0
2025-12-02,52719.0
2025-12-09,61267.0
2025-12-16,62796.0
2025-12-23,65276.0
2025-12-30,57603.0
2026-01-06,55698.0
2026-01-13,50975.0
2026-01-20,51683.0
2026-01-27,48075.0
2026-02-03,46991.0
2026-02-10,45138.0
2026-02-17,59243.0
2026-02-24,58193.0
2026-03-03,56945.0
2026-03-10,51956.0
2026-03-17,49085.0
2026-03-24,37996.0
2026-03-31,41065.0
2026-04-07,41366.0
2026-04-14,54788.0
2026-04-21,59386.0
2026-04-28,62995.0
2026-05-05,62348.0
2026-05-12,74543.0
2026-05-19,75840.0
2026-05-26,73313.0
