report_date,net
2000-08-29,664.0
2000-09-05,-196.0
2000-09-12,1053.0
2000-09-19,-4443.0
2000-09-26,-290.0
2000-10-03,2803.0
2000-10-10,4833.0
2000-10-17,1055.0
2000-10-24,1326.0
2000-10-31,1639.0
2000-11-07,3138.0
2000-11-14,2114.0
2000-11-21,5016.0
2000-11-28,6217.0
2000-12-05,15259.0
2000-12-12,18957.0
2000-12-19,21410.0
2000-12-26,26595.0
2001-01-02,27653.0
2001-01-09,23572.0
2001-01-16,20496.0
2001-01-23,17210.0
2001-01-30,16737.0
2001-02-06,14503.0
2001-02-13,15103.0
2001-02-20,10657.0
2001-02-27,9805.0
2001-03-06,17479.0
2001-03-13,7641.0
2001-03-20,2549.0
2001-03-27,4201.0
2001-04-03,7342.0
2001-04-10,5396.0
2001-04-17,4599.0
2001-04-24,7093.0
2001-05-01,5573.0
2001-05-08,3751.0
2001-05-15,2947.0
2001-05-22,-5443.0
2001-05-29,-3076.0
2001-06-05,-3854.0
2001-06-12,-4537.0
2001-06-19,3612.0
2001-06-26,3042.0
2001-07-03,2995.0
2001-07-10,6598.0
2001-07-17,8928.0
2001-07-24,13785.0
2001-07-31,15532.0
2001-08-07,16111.0
2001-08-14,22652.0
2001-08-21,26971.0
2001-08-28,27722.0
2001-09-04,20346.0
2001-09-10,17605.0
2001-09-18,24300.0
2001-09-25,27264.0
2001-10-02,23987.0
2001-10-09,21751.0
2001-10-16,17105.0
2001-10-23,9098.0
2001-10-30,16003.0
2001-11-06,14703.0
2001-11-13,471.0
2001-11-20,-369.0
2001-11-27,584.0
2001-12-04,13261.0
2001-12-11,11718.0
2001-12-18,11322.0
2001-12-21,10805.0
2001-12-28,10561.0
2002-01-08,14591.0
2002-01-15,12209.0
2002-01-22,17422.0
2002-01-29,1518.0
2002-02-05,2643.0
2002-02-12,2916.0
2002-02-19,8283.0
2002-02-26,2481.0
2002-03-05,5556.0
2002-03-12,14402.0
2002-03-19,19950.0
2002-03-26,21932.0
2002-04-02,24941.0
2002-04-09,18334.0
2002-04-16,26394.0
2002-04-23,28575.0
2002-04-30,30525.0
2002-05-07,33456.0
2002-05-14,33478.0
2002-05-21,28187.0
2002-05-28,28043.0
2002-06-04,26320.0
2002-06-11,27328.0
2002-06-18,28608.0
2002-06-25,20916.0
2002-07-02,21295.0
2002-07-09,22641.0
2002-07-16,25247.0
2002-07-23,23585.0
2002-07-30,23288.0
2002-08-06,17199.0
2002-08-13,18054.0
2002-08-20,16020.0
2002-08-27,19944.0
2002-09-03,23650.0
2002-09-10,19102.0
2002-09-17,11401.0
2002-09-24,12899.0
2002-10-01,14662.0
2002-10-08,10757.0
2002-10-15,18594.0
2002-10-22,12089.0
2002-10-29,16595.0
2002-11-05,27309.0
2002-11-12,31002.0
2002-11-19,27449.0
2002-11-26,26809.0
2002-12-03,21075.0
2002-12-10,27442.0
2002-12-17,29402.0
2002-12-23,26720.0
2002-12-31,27932.0
2003-01-07,26405.0
2003-01-14,26955.0
2003-01-21,26465.0
2003-01-28,24536.0
2003-02-04,28696.0
2003-02-11,21013.0
2003-02-18,23848.0
2003-02-25,18504.0
2003-03-04,27965.0
2003-03-11,28883.0
2003-03-18,14693.0
2003-03-25,8803.0
2003-04-01,11168.0
2003-04-08,12868.0
2003-04-15,13253.0
2003-04-22,22412.0
2003-04-29,25961.0
2003-05-06,27450.0
2003-05-13,21481.0
2003-05-20,22355.0
2003-05-27,18322.0
2003-06-03,24735.0
2003-06-10,23049.0
2003-06-17,24560.0
2003-06-24,20028.0
2003-07-01,19558.0
2003-07-08,17263.0
2003-07-15,14383.0
2003-07-22,10943.0
2003-07-29,9878.0
2003-08-05,12711.0
2003-08-12,12801.0
2003-08-19,8809.0
2003-08-26,3379.0
2003-09-02,3553.0
2003-09-09,2644.0
2003-09-16,4874.0
2003-09-23,9038.0
2003-09-30,12681.0
2003-10-07,18662.0
2003-10-14,23634.0
2003-10-21,22485.0
2003-10-28,22978.0
2003-11-04,18638.0
2003-11-11,17504.0
2003-11-18,32568.0
2003-11-25,28959.0
2003-12-02,28861.0
2003-12-09,27910.0
2003-12-16,34828.0
2003-12-22,33436.0
2003-12-30,32744.0
2004-01-06,28072.0
2004-01-13,24698.0
2004-01-20,26961.0
2004-01-27,31040.0
2004-02-03,19681.0
2004-02-10,23725.0
2004-02-17,24691.0
2004-02-24,22940.0
2004-03-02,19448.0
2004-03-09,13508.0
2004-03-16,7495.0
2004-03-23,8091.0
2004-03-30,5687.0
2004-04-06,5536.0
2004-04-12,6819.0
2004-04-20,11652.0
2004-04-27,7142.0
2004-05-04,7906.0
2004-05-11,13719.0
2004-05-18,15004.0
2004-05-25,18576.0
2004-06-01,19832.0
2004-06-08,22425.0
2004-06-15,15544.0
2004-06-22,11814.0
2004-06-29,14353.0
2004-07-06,16656.0
2004-07-13,30687.0
2004-07-20,35189.0
2004-07-27,18569.0
2004-08-03,14642.0
2004-08-10,15795.0
2004-08-17,22469.0
2004-08-24,25157.0
2004-08-31,20747.0
2004-09-07,16889.0
2004-09-14,19721.0
2004-09-21,18452.0
2004-09-28,24217.0
2004-10-05,36558.0
2004-10-12,35224.0
2004-10-19,31127.0
2004-10-26,38265.0
2004-11-02,46270.0
2004-11-09,52599.0
2004-11-16,49190.0
2004-11-23,27553.0
2004-11-30,22348.0
2004-12-07,24220.0
2004-12-14,-16185.0
2004-12-21,-13409.0
2004-12-28,19333.0
2005-01-04,10141.0
2005-01-11,19183.0
2005-01-18,14080.0
2005-01-25,5635.0
2005-02-01,2455.0
2005-02-08,-3943.0
2005-02-15,-3639.0
2005-02-22,1610.0
2005-03-01,32031.0
2005-03-08,21366.0
2005-03-15,28466.0
2005-03-22,24930.0
2005-03-29,15308.0
2005-04-05,3462.0
2005-04-12,2249.0
2005-04-19,4444.0
2005-04-26,5419.0
2005-05-03,7797.0
2005-05-10,-1569.0
2005-05-17,-9560.0
2005-05-24,-10980.0
2005-05-31,-14630.0
2005-06-07,-15375.0
2005-06-14,-17609.0
2005-06-21,-17840.0
2005-06-28,-11400.0
2005-07-05,-23297.0
2005-07-12,-7420.0
2005-07-19,-12165.0
2005-07-26,-9188.0
2005-08-02,-808.0
2005-08-09,3910.0
2005-08-16,-249.0
2005-08-23,-7072.0
2005-08-30,-4999.0
2005-09-06,23908.0
2005-09-13,6493.0
2005-09-20,-2141.0
2005-09-27,-2392.0
2005-10-04,-2797.0
2005-10-11,3390.0
2005-10-18,-1041.0
2005-10-25,-4016.0
2005-11-01,5228.0
2005-11-08,-7280.0
2005-11-15,-13879.0
2005-11-22,-10793.0
2005-11-29,-17837.0
2005-12-06,-22587.0
2005-12-13,-1488.0
2005-12-20,3247.0
2005-12-27,3405.0
2006-01-03,10522.0
2006-01-10,21218.0
2006-01-17,20810.0
2006-01-24,37512.0
2006-01-31,34785.0
2006-02-07,16305.0
2006-02-14,8932.0
2006-02-21,6760.0
2006-02-28,15139.0
2006-03-07,11133.0
2006-03-14,24879.0
2006-03-21,37626.0
2006-03-28,36614.0
2006-04-04,49364.0
2006-04-11,36975.0
2006-04-18,52373.0
2006-04-25,61916.0
2006-05-02,71459.0
2006-05-09,69099.0
2006-05-16,69596.0
2006-05-23,67647.0
2006-05-30,75965.0
2006-06-06,83064.0
2006-06-13,60870.0
2006-06-20,51945.0
2006-06-27,64466.0
2006-07-03,70358.0
2006-07-11,78580.0
2006-07-18,50061.0
2006-07-25,49856.0
2006-08-01,75802.0
2006-08-08,93942.0
2006-08-15,91378.0
2006-08-22,82786.0
2006-08-29,80877.0
2006-09-05,76043.0
2006-09-12,66758.0
2006-09-19,51218.0
2006-09-26,49744.0
2006-10-03,56190.0
2006-10-10,36194.0
2006-10-17,26457.0
2006-10-24,27281.0
2006-10-31,60918.0
2006-11-07,69572.0
2006-11-14,60022.0
2006-11-21,64899.0
2006-11-28,87904.0
2006-12-05,95808.0
2006-12-12,97265.0
2006-12-19,92595.0
2006-12-26,79403.0
2007-01-03,76948.0
2007-01-09,73457.0
2007-01-16,51597.0
2007-01-23,59627.0
2007-01-30,61393.0
2007-02-06,44731.0
2007-02-13,82251.0
2007-02-20,97899.0
2007-02-27,102017.0
2007-03-06,87051.0
2007-03-13,95768.0
2007-03-20,87114.0
2007-03-27,91941.0
2007-04-03,92638.0
2007-04-10,103568.0
2007-04-17,105493.0
2007-04-24,110325.0
2007-05-01,105578.0
2007-05-08,103486.0
2007-05-15,119189.0
2007-05-22,92475.0
2007-05-29,91381.0
2007-06-05,84243.0
2007-06-12,48464.0
2007-06-19,45626.0
2007-06-26,67231.0
2007-07-03,76779.0
2007-07-10,103976.0
2007-07-17,101051.0
2007-07-24,98165.0
2007-07-31,79671.0
2007-08-07,80509.0
2007-08-14,63882.0
2007-08-21,39256.0
2007-08-28,42553.0
2007-09-04,47221.0
2007-09-11,58757.0
2007-09-18,87923.0
2007-09-25,85054.0
2007-10-02,95049.0
2007-10-09,89124.0
2007-10-16,88732.0
2007-10-23,71421.0
2007-10-30,71623.0
2007-11-06,78225.0
2007-11-13,71229.0
2007-11-20,72092.0
2007-11-27,68168.0
2007-12-04,70825.0
2007-12-11,64111.0
2007-12-18,32179.0
2007-12-24,32445.0
2007-12-31,38246.0
2008-01-08,53398.0
2008-01-15,47243.0
2008-01-22,25919.0
2008-01-29,26473.0
2008-02-05,15813.0
2008-02-12,13117.0
2008-02-19,18648.0
2008-02-26,36408.0
2008-03-04,37123.0
2008-03-11,31832.0
2008-03-18,28695.0
2008-03-25,45683.0
2008-04-01,32381.0
2008-04-08,34265.0
2008-04-15,23794.0
2008-04-22,23432.0
2008-04-29,-16285.0
2008-05-06,-6656.0
2008-05-13,-5073.0
2008-05-20,10788.0
2008-05-27,63.0
2008-06-03,-10474.0
2008-06-10,-7096.0
2008-06-17,-8047.0
2008-06-24,2945.0
2008-07-01,31160.0
2008-07-08,25545.0
2008-07-15,25384.0
2008-07-22,5959.0
2008-07-29,-14849.0
2008-08-05,-8411.0
2008-08-12,-20224.0
2008-08-19,-21573.0
2008-08-26,-33367.0
2008-09-02,-36669.0
2008-09-09,-38973.0
2008-09-16,-43234.0
2008-09-23,-35288.0
2008-09-30,-32075.0
2008-10-07,-22993.0
2008-10-14,-34732.0
2008-10-21,-33785.0
2008-10-28,-32604.0
2008-11-04,-25492.0
2008-11-11,-24072.0
2008-11-18,-21555.0
2008-11-25,-25691.0
2008-12-02,-24824.0
2008-12-09,-16653.0
2008-12-16,-7775.0
2008-12-22,-6081.0
2008-12-30,-5574.0
2009-01-06,-4210.0
2009-01-13,-9906.0
2009-01-20,-9877.0
2009-01-27,-9615.0
2009-02-03,-10839.0
2009-02-10,-10790.0
2009-02-17,-15525.0
2009-02-24,-9739.0
2009-03-03,-16927.0
2009-03-10,-11683.0
2009-03-17,-10684.0
2009-03-24,-7757.0
2009-03-31,231.0
2009-04-07,2170.0
2009-04-14,4227.0
2009-04-21,-26.0
2009-04-28,-3416.0
2009-05-05,2060.0
2009-05-12,8700.0
2009-05-19,11053.0
2009-05-26,12983.0
2009-06-02,2526.0
2009-06-09,15273.0
2009-06-16,13200.0
2009-06-23,18123.0
2009-06-30,17494.0
2009-07-07,10348.0
2009-07-14,14232.0
2009-07-21,35322.0
2009-07-28,20595.0
2009-08-04,27914.0
2009-08-11,17551.0
2009-08-18,6613.0
2009-08-25,19243.0
2009-09-01,9895.0
2009-09-08,20034.0
2009-09-15,40322.0
2009-09-22,41536.0
2009-09-29,43983.0
2009-10-06,55390.0
2009-10-13,46661.0
2009-10-20,40088.0
2009-10-27,37601.0
2009-11-03,28036.0
2009-11-09,29815.0
2009-11-17,16023.0
2009-11-24,23028.0
2009-12-01,27270.0
2009-12-08,586.0
2009-12-15,-14307.0
2009-12-22,-10419.0
2009-12-29,-30556.0
2010-01-05,-32524.0
2010-01-12,-15925.0
2010-01-19,-23128.0
2010-01-26,-36397.0
2010-02-02,-38439.0
2010-02-09,-54396.0
2010-02-16,-56184.0
2010-02-23,-66134.0
2010-03-02,-61626.0
2010-03-09,-73213.0
2010-03-16,-44717.0
2010-03-23,-73443.0
2010-03-30,-83200.0
2010-04-06,-64017.0
2010-04-13,-51392.0
2010-04-20,-68318.0
2010-04-27,-83495.0
2010-05-04,-92825.0
2010-05-11,-105145.0
2010-05-18,-90682.0
2010-05-25,-92083.0
2010-06-01,-79806.0
2010-06-08,-100558.0
2010-06-15,-55099.0
2010-06-22,-64509.0
2010-06-29,-66809.0
2010-07-06,-38451.0
2010-07-13,-28007.0
2010-07-20,-26160.0
2010-07-27,-25347.0
2010-08-03,-13604.0
2010-08-10,-4331.0
2010-08-17,-11477.0
2010-08-24,-17594.0
2010-08-31,-21593.0
2010-09-07,-21684.0
2010-09-14,-10052.0
2010-09-21,2777.0
2010-09-28,27451.0
2010-10-05,37441.0
2010-10-12,38955.0
2010-10-19,45044.0
2010-10-26,38367.0
2010-11-02,35879.0
2010-11-09,23401.0
2010-11-16,10568.0
2010-11-23,-7993.0
2010-11-30,-5253.0
2010-12-07,-14349.0
2010-12-14,-9599.0
2010-12-21,-11863.0
2010-12-28,-24340.0
2011-01-04,-23070.0
2011-01-11,-42822.0
2011-01-18,5455.0
2011-01-25,24850.0
2011-02-01,42042.0
2011-02-08,38991.0
2011-02-15,37397.0
2011-02-22,49586.0
2011-03-01,53757.0
2011-03-08,65303.0
2011-03-15,49134.0
2011-03-22,51444.0
2011-03-29,61211.0
2011-04-05,62687.0
2011-04-12,67262.0
2011-04-19,65080.0
2011-04-26,67631.0
2011-05-03,96219.0
2011-05-10,63267.0
2011-05-17,44322.0
2011-05-24,22309.0
2011-05-31,22455.0
2011-06-07,52622.0
2011-06-14,51873.0
2011-06-21,31845.0
2011-06-28,34756.0
2011-07-05,44541.0
2011-07-12,11608.0
2011-07-19,8956.0
2011-07-26,16441.0
2011-08-02,979.0
2011-08-09,-7811.0
2011-08-16,8651.0
2011-08-23,4273.0
2011-08-30,1539.0
2011-09-06,-32547.0
2011-09-13,-52263.0
2011-09-20,-75885.0
2011-09-27,-79643.0
2011-10-04,-78897.0
2011-10-11,-69831.0
2011-10-18,-73386.0
2011-10-25,-71287.0
2011-11-01,-54530.0
2011-11-08,-48250.0
2011-11-15,-70571.0
2011-11-22,-79704.0
2011-11-29,-96928.0
2011-12-06,-89935.0
2011-12-13,-115733.0
2011-12-20,-113061.0
2011-12-27,-126939.0
2012-01-03,-137746.0
2012-01-10,-153142.0
2012-01-17,-158595.0
2012-01-24,-169740.0
2012-01-31,-155987.0
2012-02-07,-137420.0
2012-02-14,-144309.0
2012-02-21,-137479.0
2012-02-28,-106120.0
2012-03-06,-111223.0
2012-03-13,-98308.0
2012-03-20,-81986.0
2012-03-27,-89180.0
