report_date,net
1995-04-18,48920.0
1995-04-25,42327.0
1995-05-02,24083.0
1995-05-09,-1733.0
1995-05-16,-3326.0
1995-05-23,-10007.0
1995-05-30,-4113.0
1995-06-06,-3561.0
1995-06-13,6780.0
1995-06-20,30837.0
1995-06-27,25470.0
1995-07-03,-167.0
1995-07-11,-9861.0
1995-07-18,10358.0
1995-07-25,3884.0
1995-08-01,-24687.0
1995-08-08,-28715.0
1995-08-15,-12554.0
1995-08-22,-27811.0
1995-08-29,-30196.0
1995-09-05,-37815.0
1995-09-12,-21243.0
1995-09-19,-13786.0
1995-09-26,-20040.0
1995-10-03,-27172.0
1995-10-10,-18195.0
1995-10-17,-23980.0
1995-10-24,-38199.0
1995-10-31,-35706.0
1995-11-07,-22972.0
1995-11-14,8905.0
1995-11-21,3627.0
1995-11-28,-267.0
1995-12-05,-125.0
1995-12-12,11624.0
1995-12-19,4044.0
1995-12-26,3280.0
1996-01-02,12835.0
1996-01-09,56085.0
1996-01-16,62225.0
1996-01-23,75891.0
1996-01-30,73817.0
1996-02-06,73507.0
1996-02-13,56009.0
1996-02-20,46069.0
1996-02-27,41821.0
1996-03-05,23025.0
1996-03-12,23640.0
1996-03-19,15156.0
1996-03-26,31907.0
1996-04-02,22434.0
1996-04-09,27154.0
1996-04-16,4251.0
1996-04-23,-979.0
1996-04-30,-943.0
1996-05-07,7273.0
1996-05-14,-4135.0
1996-05-21,-11962.0
1996-05-28,-9269.0
1996-06-04,-13036.0
1996-06-11,-38850.0
1996-06-18,-32380.0
1996-06-25,-30284.0
1996-07-02,-40772.0
1996-07-09,-37596.0
1996-07-16,-29320.0
1996-07-23,-24462.0
1996-07-30,-20148.0
1996-08-06,1878.0
1996-08-13,2191.0
1996-08-20,-1619.0
1996-08-27,1720.0
1996-09-03,-14474.0
1996-09-10,-46969.0
1996-09-17,-52146.0
1996-09-24,-56747.0
1996-10-01,-61921.0
1996-10-08,-56673.0
1996-10-15,-52769.0
1996-10-22,-37074.0
1996-10-29,-45814.0
1996-11-05,-54802.0
1996-11-12,-37781.0
1996-11-19,-39247.0
1996-11-26,-56193.0
1996-12-03,-55600.0
1996-12-10,-40403.0
1996-12-17,-39946.0
1996-12-24,-41762.0
1996-12-31,-46527.0
1997-01-07,-53591.0
1997-01-14,-55457.0
1997-01-21,-53143.0
1997-01-28,-40100.0
1997-02-04,-48277.0
1997-02-11,-49001.0
1997-02-18,-36312.0
1997-02-25,-20409.0
1997-03-04,5053.0
1997-03-11,-158.0
1997-03-18,-9347.0
1997-03-25,-6237.0
1997-04-01,-7983.0
1997-04-08,-7576.0
1997-04-15,-27574.0
1997-04-22,-35220.0
1997-04-29,-37413.0
1997-05-06,-36702.0
1997-05-13,-11219.0
1997-05-20,-24458.0
1997-05-27,-23103.0
1997-06-03,-24013.0
1997-06-10,-28354.0
1997-06-17,-30223.0
1997-06-24,-48181.0
1997-07-01,-64548.0
1997-07-08,-72091.0
1997-07-15,-70345.0
1997-07-22,-56814.0
1997-07-29,-51974.0
1997-08-05,-67261.0
1997-08-12,-46140.0
1997-08-19,-53134.0
1997-08-26,-48957.0
1997-09-02,-56840.0
1997-09-09,-56135.0
1997-09-16,-54753.0
1997-09-23,-56219.0
1997-09-30,-11501.0
1997-10-07,16800.0
1997-10-14,-2921.0
1997-10-21,-26071.0
1997-10-28,-64094.0
1997-11-04,-63813.0
1997-11-11,-60683.0
1997-11-18,-50832.0
1997-11-25,-60222.0
1997-12-02,-59241.0
1997-12-09,-62840.0
1997-12-16,-59437.0
1997-12-23,-51237.0
1997-12-30,-51878.0
1998-01-06,-60345.0
1998-01-13,-57590.0
1998-01-20,-50977.0
1998-01-27,-22514.0
1998-02-03,-22844.0
1998-02-10,-20523.0
1998-02-17,-24907.0
1998-02-24,-33230.0
1998-03-03,-26599.0
1998-03-10,-32690.0
1998-03-17,-45587.0
1998-03-24,-35578.0
1998-03-31,-15235.0
1998-04-07,14092.0
1998-04-14,15851.0
1998-04-21,19670.0
1998-04-28,24137.0
1998-05-05,11230.0
1998-05-12,-19205.0
1998-05-19,-18019.0
1998-05-26,-22597.0
1998-06-02,-53437.0
1998-06-09,-49605.0
1998-06-16,-59593.0
1998-06-23,-35824.0
1998-06-30,-33518.0
1998-07-07,-32694.0
1998-07-14,-34799.0
1998-07-21,-30448.0
1998-07-28,-38348.0
1998-08-04,-57473.0
1998-08-11,-57276.0
1998-08-18,-57354.0
1998-08-25,-58210.0
1998-09-01,-65752.0
1998-09-08,-44222.0
1998-09-15,-14313.0
1998-09-22,-14432.0
1998-09-29,644.0
1998-10-06,30111.0
1998-10-13,29136.0
1998-10-20,23459.0
1998-10-27,12222.0
1998-11-03,-17471.0
1998-11-10,-2878.0
1998-11-17,5139.0
1998-11-24,8256.0
1998-12-01,-4728.0
1998-12-08,-4067.0
1998-12-15,-11891.0
1998-12-22,-26636.0
1998-12-29,-34367.0
1999-01-05,-42219.0
1999-01-12,-38364.0
1999-01-19,-51807.0
1999-01-26,-58241.0
1999-02-02,-55839.0
1999-02-09,-57557.0
1999-02-16,-64859.0
1999-02-23,-66697.0
1999-03-02,-55293.0
1999-03-09,1689.0
1999-03-16,-28219.0
1999-03-23,-51021.0
1999-03-30,-79744.0
1999-04-06,-88342.0
1999-04-13,-79720.0
1999-04-20,-72257.0
1999-04-27,-79818.0
1999-05-04,-46642.0
1999-05-11,-59586.0
1999-05-18,-77927.0
1999-05-25,-84082.0
1999-06-01,-65678.0
1999-06-08,-83401.0
1999-06-15,-80751.0
1999-06-22,-85391.0
1999-06-29,-81634.0
1999-07-06,-83148.0
1999-07-13,-76141.0
1999-07-20,-77472.0
1999-07-27,-65677.0
1999-08-03,-53514.0
1999-08-10,-51305.0
1999-08-17,-30475.0
1999-08-24,-55538.0
1999-08-31,-55314.0
1999-09-07,-56508.0
1999-09-14,-47348.0
1999-09-21,-29223.0
1999-09-28,22590.0
1999-10-05,27895.0
1999-10-12,35943.0
1999-10-19,32776.0
1999-10-26,28332.0
1999-11-02,24325.0
1999-11-09,20148.0
1999-11-16,22584.0
1999-11-23,29294.0
1999-11-30,24492.0
1999-12-07,14940.0
1999-12-14,-2478.0
1999-12-21,-3290.0
1999-12-28,-2102.0
2000-01-04,-5071.0
2000-01-11,52.0
2000-01-18,6245.0
2000-01-25,6816.0
2000-02-01,2974.0
2000-02-08,28822.0
2000-02-15,41870.0
2000-02-22,53355.0
2000-02-29,37522.0
2000-03-07,33613.0
2000-03-14,25118.0
2000-03-21,22885.0
2000-03-28,-9568.0
2000-04-04,-20923.0
2000-04-11,-22189.0
2000-04-18,-19898.0
2000-04-25,-25982.0
2000-05-02,-33259.0
2000-05-09,-27067.0
2000-05-16,-30131.0
2000-05-23,-38276.0
2000-05-30,-43496.0
2000-06-06,-3741.0
2000-06-13,16171.0
2000-06-20,21187.0
2000-06-27,17947.0
2000-07-05,17444.0
2000-07-11,11644.0
2000-07-18,7142.0
2000-07-25,2441.0
2000-08-01,-6283.0
2000-08-08,-26025.0
2000-08-15,-32905.0
2000-08-22,-28010.0
2000-08-29,-30114.0
2000-09-05,-20414.0
2000-09-12,-28357.0
2000-09-19,-33153.0
2000-09-26,-27994.0
2000-10-03,-22609.0
2000-10-10,-27582.0
2000-10-17,-19458.0
2000-10-24,-22952.0
2000-10-31,-38063.0
2000-11-07,-39356.0
2000-11-14,-41052.0
2000-11-21,-42422.0
2000-11-28,-32224.0
2000-12-05,-23409.0
2000-12-12,-12649.0
2000-12-19,-18010.0
2000-12-26,-9603.0
2001-01-02,-21090.0
2001-01-09,-35869.0
2001-01-16,-54729.0
2001-01-23,-54611.0
2001-01-30,-50845.0
2001-02-06,-49980.0
2001-02-13,-56843.0
2001-02-20,-63263.0
2001-02-27,-47785.0
2001-03-06,-40582.0
2001-03-13,-18608.0
2001-03-20,-33497.0
2001-03-27,-29398.0
2001-04-03,-48389.0
2001-04-10,-56001.0
2001-04-17,-39771.0
2001-04-24,-27932.0
2001-05-01,-21153.0
2001-05-08,-18339.0
2001-05-15,5347.0
2001-05-22,41954.0
2001-05-29,45838.0
2001-06-05,25993.0
2001-06-12,21255.0
2001-06-19,24025.0
2001-06-26,27668.0
2001-07-03,22253.0
2001-07-10,15919.0
2001-07-17,13525.0
2001-07-24,16653.0
2001-07-31,-551.0
2001-08-07,224.0
2001-08-14,35645.0
2001-08-21,42830.0
2001-08-28,31048.0
2001-09-04,29908.0
2001-09-10,24464.0
2001-09-18,34745.0
2001-09-25,43482.0
2001-10-02,43173.0
2001-10-09,42658.0
2001-10-16,30380.0
2001-10-23,18734.0
2001-10-30,16632.0
2001-11-06,16018.0
2001-11-13,10046.0
2001-11-20,-5073.0
2001-11-27,-8004.0
2001-12-04,-6835.0
2001-12-11,-20546.0
2001-12-18,-45.0
2001-12-21,-2422.0
2001-12-28,-511.0
2002-01-08,6861.0
2002-01-15,34567.0
2002-01-22,30978.0
2002-01-29,17634.0
2002-02-05,43386.0
2002-02-12,47772.0
2002-02-19,44489.0
2002-02-26,40805.0
2002-03-05,42851.0
2002-03-12,36833.0
2002-03-19,32950.0
2002-03-26,39962.0
2002-04-02,46290.0
2002-04-09,45114.0
2002-04-16,40540.0
2002-04-23,49220.0
2002-04-30,56704.0
2002-05-07,56972.0
2002-05-14,41491.0
2002-05-21,52651.0
2002-05-28,49506.0
2002-06-04,52606.0
2002-06-11,54537.0
2002-06-18,50485.0
2002-06-25,47615.0
2002-07-02,37520.0
2002-07-09,30759.0
2002-07-16,28096.0
2002-07-23,30362.0
2002-07-30,4039.0
2002-08-06,4193.0
2002-08-13,4036.0
2002-08-20,7370.0
2002-08-27,4888.0
2002-09-03,7803.0
2002-09-10,21161.0
2002-09-17,26685.0
2002-09-24,44754.0
2002-10-01,46116.0
2002-10-08,42060.0
2002-10-15,18785.0
2002-10-22,11882.0
2002-10-29,18303.0
2002-11-05,22750.0
2002-11-12,40897.0
2002-11-19,41474.0
2002-11-26,36877.0
2002-12-03,31437.0
2002-12-10,50626.0
2002-12-17,57709.0
2002-12-23,60092.0
2002-12-31,62180.0
2003-01-07,66195.0
2003-01-14,65201.0
2003-01-21,67664.0
2003-01-28,64652.0
2003-02-04,75106.0
2003-02-11,58687.0
2003-02-14,40589.0
2003-02-25,30061.0
2003-03-04,33156.0
2003-03-11,32867.0
2003-03-18,17524.0
2003-03-25,24615.0
2003-04-01,23677.0
2003-04-08,21311.0
2003-04-15,17236.0
2003-04-22,20376.0
2003-04-29,19608.0
2003-05-06,33213.0
2003-05-13,37864.0
2003-05-20,63686.0
2003-05-27,70054.0
2003-06-03,87634.0
2003-06-10,70331.0
2003-06-17,71119.0
2003-06-24,54611.0
2003-07-01,49222.0
2003-07-08,44162.0
2003-07-15,28497.0
2003-07-22,38380.0
2003-07-29,75836.0
2003-08-05,56112.0
2003-08-12,64458.0
2003-08-19,88742.0
2003-08-26,97021.0
2003-09-02,123118.0
2003-09-09,119466.0
2003-09-16,110757.0
2003-09-23,119187.0
2003-09-30,114523.0
2003-10-07,99688.0
2003-10-14,99662.0
2003-10-21,107313.0
2003-10-28,117496.0
2003-11-04,112863.0
2003-11-11,113095.0
2003-11-18,126373.0
2003-11-25,126041.0
2003-12-02,132028.0
2003-12-09,126696.0
2003-12-16,134263.0
2003-12-22,129588.0
2003-12-30,134855.0
