report_date,net
1995-04-18,24929.0
1995-04-25,26368.0
1995-05-02,27867.0
1995-05-09,25032.0
1995-05-16,17154.0
1995-05-23,13709.0
1995-05-30,10432.0
1995-06-06,8685.0
1995-06-13,11607.0
1995-06-20,13304.0
1995-06-27,13502.0
1995-07-03,7135.0
1995-07-11,6682.0
1995-07-18,9326.0
1995-07-25,10990.0
1995-08-01,9472.0
1995-08-08,10617.0
1995-08-15,13802.0
1995-08-22,28194.0
1995-08-29,28929.0
1995-09-05,21843.0
1995-09-12,22513.0
1995-09-19,24966.0
1995-09-26,27835.0
1995-10-03,22521.0
1995-10-10,20209.0
1995-10-17,18859.0
1995-10-24,19201.0
1995-10-31,20985.0
1995-11-07,19278.0
1995-11-14,18665.0
1995-11-21,17166.0
1995-11-28,11317.0
1995-12-05,11678.0
1995-12-12,10625.0
1995-12-19,9568.0
1995-12-26,9928.0
1996-01-02,14086.0
1996-01-09,25463.0
1996-01-16,27451.0
1996-01-23,28000.0
1996-01-30,26903.0
1996-02-06,32728.0
1996-02-13,30948.0
1996-02-20,26528.0
1996-02-27,23291.0
1996-03-05,17840.0
1996-03-12,21867.0
1996-03-19,25790.0
1996-03-26,32433.0
1996-04-02,27016.0
1996-04-09,20853.0
1996-04-16,10995.0
1996-04-23,5888.0
1996-04-30,6893.0
1996-05-07,12242.0
1996-05-14,11346.0
1996-05-21,1436.0
1996-05-28,2623.0
1996-06-04,1959.0
1996-06-11,-3128.0
1996-06-18,-132.0
1996-06-25,982.0
1996-07-02,-1130.0
1996-07-09,841.0
1996-07-16,-2939.0
1996-07-23,-8843.0
1996-07-30,-2866.0
1996-08-06,-3753.0
1996-08-13,-1675.0
1996-08-20,10400.0
1996-08-27,16568.0
1996-09-03,16044.0
1996-09-10,11782.0
1996-09-17,4485.0
1996-09-24,-4952.0
1996-10-01,-2873.0
1996-10-08,-2556.0
1996-10-15,4117.0
1996-10-22,837.0
1996-10-29,-2670.0
1996-11-05,-4194.0
1996-11-12,-1378.0
1996-11-19,-265.0
1996-11-26,-2270.0
