report_date,net
2004-07-27,2292.0
2004-08-03,1791.0
2004-08-10,1644.0
2004-08-17,1497.0
2004-08-24,1237.0
2004-08-31,998.0
2004-09-07,617.0
2004-09-14,1102.0
2004-09-21,1187.0
2004-09-28,1088.0
2004-10-05,1208.0
2004-10-12,1832.0
2004-10-19,1212.0
2004-10-26,2660.0
2004-11-02,4311.0
2004-11-09,4746.0
2004-11-16,4979.0
2004-11-23,3759.0
2004-11-30,3672.0
2004-12-07,3593.0
2004-12-14,3448.0
2004-12-21,3382.0
2004-12-28,3219.0
2005-01-04,3165.0
2005-01-11,3399.0
2005-01-18,3455.0
2005-01-25,3985.0
2005-02-01,3984.0
2005-02-08,4399.0
2005-02-15,5376.0
2005-02-22,5205.0
2005-03-01,5317.0
2005-03-08,5687.0
2005-03-15,5729.0
2005-03-22,5926.0
2005-03-29,6483.0
2005-04-05,6803.0
2005-04-12,6321.0
2005-04-19,6807.0
2005-04-26,5922.0
2005-05-03,6488.0
2005-05-10,6866.0
2005-05-17,6566.0
2005-05-24,5124.0
2005-05-31,5105.0
2005-06-07,5257.0
2005-06-14,4952.0
2005-06-21,4513.0
2005-06-28,4106.0
2005-07-05,4014.0
2005-07-12,4040.0
2005-07-19,2500.0
2005-07-26,2662.0
2005-08-02,2809.0
2005-08-09,3212.0
2005-08-16,3451.0
2005-08-23,1418.0
2005-08-30,2405.0
2005-09-06,2437.0
2005-09-13,2463.0
2005-09-20,2347.0
2005-09-27,2318.0
2005-10-04,2593.0
2005-10-11,3747.0
2005-10-18,4069.0
2005-10-25,3893.0
2005-11-01,3989.0
2005-11-08,3277.0
2005-11-15,532.0
2005-11-22,1253.0
2005-11-29,1088.0
2005-12-06,883.0
2005-12-13,785.0
2005-12-20,1271.0
2005-12-27,1046.0
2006-01-03,930.0
2006-01-10,695.0
2006-01-17,-198.0
2006-01-24,-269.0
2006-01-31,-636.0
2006-02-07,-1519.0
2006-02-14,-2209.0
2006-02-21,-3110.0
2006-02-28,-2971.0
2006-03-07,-2661.0
2006-03-14,-2610.0
2006-03-21,-3114.0
2006-03-28,-3252.0
2006-04-04,-3625.0
2006-04-11,-2019.0
2006-04-18,-510.0
