report_date,net
2013-12-17,-66055.0
2013-12-24,-65346.0
2013-12-31,-66938.0
2014-01-07,-65210.0
2014-01-14,-52925.0
2014-01-21,-52331.0
2014-01-28,-58401.0
2014-02-04,-52758.0
2014-02-11,-45171.0
2014-02-18,-33377.0
2014-02-25,-18049.0
2014-03-04,-3442.0
2014-03-11,10840.0
2014-03-18,20052.0
2014-03-25,32255.0
2014-04-01,40039.0
2014-04-08,36507.0
2014-04-15,32927.0
2014-04-22,24709.0
2014-04-29,36968.0
2014-05-06,38922.0
2014-05-13,43243.0
2014-05-20,26783.0
2014-05-27,21849.0
2014-06-03,6499.0
2014-06-10,-12870.0
2014-06-17,-19326.0
2014-06-24,-29858.0
2014-07-01,-28802.0
2014-07-08,-33388.0
2014-07-15,-37027.0
2014-07-22,-45117.0
2014-07-29,-59701.0
2014-08-05,-54279.0
2014-08-12,-48328.0
2014-08-19,-43440.0
2014-08-26,-40654.0
2014-09-02,-43634.0
2014-09-09,-51301.0
2014-09-16,-55905.0
2014-09-23,-65234.0
2014-09-30,-61431.0
2014-10-07,-60571.0
2014-10-14,-50277.0
2014-10-21,-42666.0
2014-10-28,-29275.0
2014-11-04,-19579.0
2014-11-11,-20300.0
2014-11-18,-4973.0
2014-11-25,-8044.0
2014-12-02,-5940.0
2014-12-09,7678.0
2014-12-16,20965.0
2014-12-23,26947.0
2014-12-30,23048.0
2015-01-06,15254.0
2015-01-13,12592.0
2015-01-20,2707.0
2015-01-27,-8696.0
2015-02-03,-26000.0
2015-02-10,-24583.0
2015-02-17,-24827.0
2015-02-24,-26629.0
2015-03-03,-37050.0
2015-03-10,-50466.0
2015-03-17,-46913.0
2015-03-24,-53292.0
2015-03-31,-57624.0
2015-04-07,-53587.0
2015-04-14,-65385.0
2015-04-21,-72986.0
2015-04-28,-81256.0
2015-05-05,-88730.0
2015-05-12,-82399.0
2015-05-19,-59907.0
2015-05-26,-72096.0
2015-06-02,-68113.0
2015-06-09,-28085.0
2015-06-16,-41588.0
2015-06-23,-47365.0
2015-06-30,8223.0
2015-07-07,26763.0
2015-07-14,22583.0
2015-07-21,15980.0
2015-07-28,3545.0
2015-08-04,-13978.0
2015-08-11,-14026.0
2015-08-18,-7661.0
2015-08-25,-13214.0
2015-09-01,-36431.0
2015-09-08,-55243.0
2015-09-15,-51457.0
2015-09-22,-45836.0
2015-09-29,-36282.0
2015-10-06,-22575.0
2015-10-13,-26527.0
2015-10-20,-65967.0
2015-10-27,-45040.0
2015-11-03,-32064.0
2015-11-10,-32545.0
2015-11-17,-48149.0
2015-11-24,-53599.0
2015-12-01,-79349.0
2015-12-08,-80980.0
2015-12-15,-59970.0
2015-12-22,-77159.0
2015-12-29,-89630.0
2016-01-05,-107896.0
2016-01-12,-88765.0
2016-01-19,-87189.0
2016-01-26,-67754.0
2016-02-02,-66771.0
2016-02-09,-96890.0
2016-02-16,-94805.0
2016-02-23,-110408.0
2016-03-01,-123086.0
2016-03-08,-110686.0
2016-03-15,-89999.0
2016-03-22,-102370.0
2016-03-29,-93239.0
2016-04-05,-90526.0
2016-04-12,-122852.0
2016-04-19,-103073.0
2016-04-26,-75019.0
2016-05-03,-71425.0
2016-05-10,-80845.0
2016-05-17,-77050.0
2016-05-24,-88139.0
2016-05-31,-88615.0
2016-06-07,-52875.0
2016-06-14,-43216.0
2016-06-21,-56659.0
